"","groupe","poids"
"1","test",24.2
"2","test",19.6
"3","test",16.4
"4","test",14
"5","test",12.6
"6","test",18.2
"7","test",19.2
"8","test",13.8
"9","test",17.1
"10","test",16.1
"11","test",18.8
"12","test",21.7
"13","test",19.4
"14","test",17.1
"15","test",15.8
"16","test",16.2
"17","test",18.9
"18","test",16.7
"19","test",16.7
"20","test",20.7
"21","test",18
"22","test",17.8
"23","test",15.2
"24","test",15.2
"25","test",17.2
"26","test",20.2
"27","test",20.2
"28","test",19.5
"29","test",15.1
"30","test",21.2
"31","test",22.8
"32","test",17.8
"33","test",18.8
"34","test",20.7
"35","test",16.1
"36","test",18.6
"37","test",22.3
"38","test",15.4
"39","test",16.5
"40","test",17.2
"41","test",16.3
"42","test",15.6
"43","test",18
"44","test",15.6
"45","test",17.5
"46","test",21.7
"47","test",17.1
"48","test",20.3
"49","test",20.1
"50","test",19.7
"51","test",22.2
"52","test",16.8
"53","test",18.1
"54","test",19
"55","test",22.3
"56","test",21
"57","test",17.4
"58","test",21.2
"59","test",15
"60","test",17.8
"61","test",15.5
"62","test",16
"63","test",20.1
"64","test",19.8
"65","test",17.1
"66","test",19.7
"67","test",18.2
"68","test",20.8
"69","test",17.6
"70","test",17.4
"71","test",18
"72","test",21.7
"73","test",18.6
"74","test",12.8
"75","test",20.2
"76","test",17.3
"77","test",13.9
"78","test",16.2
"79","test",17.8
"80","test",19.7
"81","test",19.8
"82","test",18.4
"83","test",17.6
"84","test",18.4
"85","test",17.9
"86","test",16.7
"87","test",17.8
"88","test",20.9
"89","test",16.4
"90","test",21.1
"91","test",17.8
"92","test",20.3
"93","test",20.9
"94","test",19.9
"95","test",18.9
"96","test",18.6
"97","test",17.3
"98","test",16.4
"99","test",18.7
"100","test",21.3
"101","test",15.9
"102","test",19.7
"103","test",14.3
"104","test",18.5
"105","test",19.8
"106","test",18.9
"107","test",19.9
"108","test",17.2
"109","test",17.9
"110","test",20.5
"111","test",19.5
"112","test",19.4
"113","test",18.9
"114","test",17.2
"115","test",19.4
"116","test",18.8
"117","test",19.6
"118","test",19.9
"119","test",13.3
"120","test",18.1
"121","test",19.9
"122","test",15.9
"123","test",15.7
"124","test",20.3
"125","test",17.3
"126","test",16.5
"127","test",19.7
"128","test",19.1
"129","test",20
"130","test",16.9
"131","test",18.6
"132","test",21.2
"133","test",17
"134","test",19.3
"135","test",18.1
"136","test",20.3
"137","test",19
"138","test",19
"139","test",17.4
"140","test",17.4
"141","test",19.1
"142","test",17.8
"143","test",14.9
"144","test",14.9
"145","test",21.9
"146","test",17.4
"147","test",15.4
"148","test",18
"149","test",21.5
"150","test",19.5
"151","temoin",21.1
"152","temoin",21.6
"153","temoin",14.5
"154","temoin",17.3
"155","temoin",15.3
"156","temoin",19.5
"157","temoin",19.1
"158","temoin",21.3
"159","temoin",24.3
"160","temoin",25.2
"161","temoin",13.5
"162","temoin",17.4
"163","temoin",14.9
"164","temoin",19.5
"165","temoin",16.6
"166","temoin",18.5
"167","temoin",18.6
"168","temoin",17.9
"169","temoin",16.1
"170","temoin",18.3
"171","temoin",24.5
"172","temoin",19
"173","temoin",21.3
"174","temoin",22.3
"175","temoin",19.9
"176","temoin",16.9
